;Subject;Test;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 PO7;O2 PO3;O2 PO4;PO7 PO3;PO7 PO4;PO3 PO4
0;S3;Resting Open;0.154163541;0.134533633;0.137284321;0.139284821;0.138034509;0.118779695;0.133033258;0.49299825;0.405726432;0.528382096;0.304576144;0.372468117;0.461740435;0.428857214;0.369217304;0.231557889;0.360965241;0.345211303;0.279194799;0.189672418;0.307451863;0.257939485;0.356964241;0.298574644;0.505376344;0.201675419;0.326206552;0.34796199
0;S5;Resting Open;0.094898725;0.108902226;0.11927982;0.101650413;0.11327832;0.098024506;0.084021005;0.449487372;0.271192798;0.425606402;0.323580895;0.428107027;0.351087772;0.3975994;0.277694424;0.242185546;0.446736684;0.239184796;0.179544886;0.169417354;0.321455364;0.162165541;0.41847962;0.268317079;0.392473118;0.230057514;0.34096024;0.26344086
0;S6;Resting Open;0.114153538;0.102900725;0.092023006;0.125906477;0.137659415;0.103150788;0.110402601;0.509627407;0.286446612;0.437109277;0.293448362;0.409602401;0.423980995;0.354713678;0.356339085;0.254938735;0.455363841;0.353213303;0.224056014;0.173043261;0.34396099;0.219054764;0.438109527;0.303700925;0.491872968;0.238809702;0.379219805;0.347586897
0;S10;Resting Open;0.103275819;0.096899225;0.095273818;0.105526382;0.112778195;0.1004001;0.10340085;0.653663416;0.469242311;0.572393098;0.366466617;0.525381345;0.553888472;0.685296324;0.387971993;0.271192798;0.656789197;0.389847462;0.29619905;0.221180295;0.555513878;0.293698425;0.577269317;0.333708427;0.722305576;0.239059765;0.494248562;0.34496124
0;S14;Resting Open;0.128407102;0.122780695;0.106276569;0.12428107;0.138534634;0.102525631;0.115028757;0.351587897;0.197674419;0.35483871;0.292948237;0.319954989;0.350087522;0.311702926;0.295948987;0.235933983;0.373218305;0.284446112;0.161540385;0.147286822;0.204551138;0.16204051;0.312828207;0.261940485;0.341460365;0.21467867;0.304076019;0.308327082
0;S15;Resting Open;0.11527882;0.113153288;0.127031758;0.123780945;0.125031258;0.089522381;0.087021755;0.594273568;0.425356339;0.6004001;0.327456864;0.431357839;0.323205801;0.568642161;0.385971493;0.251687922;0.415353838;0.231432858;0.285946487;0.205926482;0.382470618;0.190422606;0.498499625;0.339084771;0.395473868;0.22068017;0.298324581;0.368717179
0;S16;Resting Open;0.126656664;0.114403601;0.117904476;0.132908227;0.139409852;0.110152538;0.111277819;0.453363341;0.402225556;0.431982996;0.319704926;0.363215804;0.342835709;0.440735184;0.340585146;0.246186547;0.381595399;0.290947737;0.316829207;0.24656164;0.369217304;0.263315829;0.404476119;0.307701925;0.3975994;0.231932983;0.301575394;0.313203301
0;S21;Resting Open;0.121655414;0.111027757;0.104776194;0.138034509;0.141910478;0.100150038;0.118904726;0.503125781;0.411227807;0.524131033;0.362965741;0.395098775;0.409352338;0.503875969;0.360715179;0.252563141;0.387846962;0.2931983;0.304951238;0.218304576;0.366216554;0.25943986;0.469992498;0.318579645;0.443610903;0.241810453;0.376344086;0.363340835
0;S22;Resting Open;0.196424106;0.190297574;0.192673168;0.186171543;0.195673918;0.155663916;0.15503876;0.569142286;0.499249812;0.58652163;0.438609652;0.459864966;0.455488872;0.582395599;0.506376594;0.374093523;0.436109027;0.387471868;0.437859465;0.346211553;0.41447862;0.33595899;0.536259065;0.447486872;0.533133283;0.36684171;0.465991498;0.46124031
0;S23;Resting Open;0.123530883;0.124406102;0.12128032;0.127531883;0.133033258;0.11327832;0.113403351;0.574268567;0.434483621;0.556889222;0.444986247;0.427856964;0.442110528;0.58452113;0.405726432;0.347336834;0.460615154;0.352588147;0.313703426;0.273943486;0.421605401;0.286446612;0.565266317;0.332583146;0.467866967;0.297824456;0.478619655;0.378469617
0;S24;Resting Open;0.112903226;0.110027507;0.106026507;0.11627907;0.109527382;0.080645161;0.082395599;0.499749937;0.331332833;0.567891973;0.374093523;0.363090773;0.4056014;0.436984246;0.366966742;0.242310578;0.375093773;0.276819205;0.257189297;0.194298575;0.30220055;0.197549387;0.547636909;0.277194299;0.487871968;0.1987997;0.414228557;0.320455114
0;S3;Resting;0.136409102;0.127031758;0.114153538;0.116404101;0.128532133;0.104026007;0.115028757;0.470742686;0.369092273;0.534883721;0.308577144;0.38472118;0.448612153;0.432233058;0.31607902;0.215553888;0.370717679;0.280195049;0.245686422;0.172043011;0.323830958;0.228057014;0.364966242;0.294573643;0.501625406;0.194048512;0.351462866;0.295823956
0;S5;Resting;0.099024756;0.109652413;0.119529882;0.096274069;0.099774944;0.088647162;0.075893973;0.397724431;0.219804951;0.454988747;0.292823206;0.406476619;0.326706677;0.450612653;0.224306077;0.188172043;0.421355339;0.175543886;0.140535134;0.131532883;0.308327082;0.122030508;0.447986997;0.245186297;0.433108277;0.190672668;0.331082771;0.230807702
0;S6;Resting;0.122405601;0.119779945;0.100775194;0.13515879;0.13215804;0.112778195;0.12428107;0.563390848;0.308702176;0.434233558;0.242185546;0.346211553;0.373593398;0.3995999;0.340460115;0.209802451;0.383220805;0.320330083;0.219179795;0.161415354;0.362715679;0.222930733;0.3935984;0.254688672;0.441610403;0.196049012;0.410727682;0.331707927
0;S10;Resting;0.094273568;0.09539885;0.094898725;0.105776444;0.121155289;0.090522631;0.0943986;0.613653413;0.430107527;0.550512628;0.355338835;0.560765191;0.508377094;0.687296824;0.370592648;0.267191798;0.785946487;0.339209802;0.274443611;0.216554139;0.62728182;0.246186547;0.60340085;0.342835709;0.71467867;0.244936234;0.484621155;0.337834459
0;S14;Resting;0.12328082;0.119529882;0.102150538;0.13515879;0.135533883;0.088147037;0.105026257;0.447986997;0.265191298;0.4979995;0.361090273;0.391222806;0.413103276;0.440485121;0.390722681;0.285446362;0.454613653;0.301950488;0.240685171;0.197924481;0.281695424;0.189422356;0.47611903;0.31907977;0.464116029;0.236809202;0.37771943;0.33695924
0;S15;Resting;0.117904476;0.118529632;0.121405351;0.115153788;0.11627907;0.083770943;0.075143786;0.605526382;0.426606652;0.553138285;0.307326832;0.420855214;0.332333083;0.636409102;0.346836709;0.217804451;0.42748187;0.222805701;0.254563641;0.176419105;0.370717679;0.173418355;0.51487872;0.297699425;0.406476619;0.197049262;0.314203551;0.326706677
0;S16;Resting;0.103525881;0.102775694;0.109277319;0.11927982;0.136284071;0.089772443;0.096649162;0.540260065;0.442235559;0.531007752;0.369092273;0.445236309;0.424106027;0.535633908;0.429107277;0.325456364;0.414728682;0.332833208;0.376344086;0.311827957;0.381095274;0.276069017;0.527506877;0.374593648;0.493873468;0.279444861;0.370967742;0.395473868
0;S21;Resting;0.0983996;0.098774694;0.095023756;0.103775944;0.113028257;0.080395099;0.081270318;0.48512128;0.35983996;0.463990998;0.302700675;0.349837459;0.344586147;0.523630908;0.294948737;0.210052513;0.353713428;0.238684671;0.232683171;0.166666667;0.3052013;0.18392098;0.469617404;0.256939235;0.416354089;0.183170793;0.325831458;0.305701425
0;S22;Resting;0.223805951;0.220805201;0.220930233;0.209552388;0.202050513;0.156914229;0.155538885;0.682670668;0.56364091;0.655288822;0.437484371;0.468492123;0.44536134;0.652413103;0.514753688;0.350087522;0.45823956;0.365966492;0.43635909;0.325206302;0.416354089;0.298449612;0.539009752;0.399224806;0.490122531;0.284196049;0.367091773;0.453988497
0;S23;Resting;0.154163541;0.169667417;0.178669667;0.152538135;0.161665416;0.131032758;0.119904976;0.659289822;0.47211803;0.674418605;0.537259315;0.500375094;0.442860715;0.656539135;0.503625906;0.420105026;0.461365341;0.320455114;0.373093273;0.335458865;0.367966992;0.24356089;0.661415354;0.408727182;0.468742186;0.337709427;0.445986497;0.449237309
0;S24;Resting;0.131657914;0.121405351;0.108527132;0.132783196;0.134908727;0.085646412;0.0943986;0.534508627;0.307451863;0.624781195;0.443610903;0.37971993;0.467491873;0.474743686;0.343335834;0.266316579;0.473993498;0.272443111;0.220180045;0.188422106;0.309327332;0.184171043;0.678294574;0.249312328;0.595523881;0.194673668;0.487621905;0.253063266
0;S3;Dots;0.175158377;0.154400863;0.15197466;0.176910635;0.186143685;0.136002157;0.152311632;0.608842162;0.484836231;0.628858337;0.458687155;0.497843375;0.544278205;0.579525543;0.459158916;0.344857798;0.489688637;0.402008357;0.363930449;0.287909422;0.449521499;0.326998248;0.551152446;0.418317833;0.622590646;0.313114975;0.513681089;0.433077234
0;S5;Dots;0.132295458;0.123668958;0.132295458;0.133508559;0.140854563;0.122321068;0.126903895;0.473985712;0.343779485;0.453430381;0.341353282;0.411174013;0.383879229;0.432605472;0.327941771;0.261153794;0.393381857;0.276519747;0.264456126;0.214314598;0.372759132;0.234128589;0.482275239;0.329087478;0.449791077;0.264186548;0.387922901;0.314328077
0;S6;Dots;0.079862515;0.07056207;0.066181426;0.076492789;0.076223211;0.067259739;0.081345195;0.365750101;0.204272813;0.427618277;0.124814665;0.112885834;0.203194501;0.214449387;0.251246799;0.096171991;0.093678393;0.144628656;0.161612077;0.086534573;0.134249899;0.129464887;0.150020218;0.108639978;0.214112414;0.09765467;0.304084108;0.152042054
0;S10;Dots;0.115985982;0.109448713;0.106415959;0.129532282;0.128521364;0.096441569;0.116794716;0.614503302;0.465089635;0.578110257;0.332794177;0.478029384;0.528238307;0.670508155;0.453902143;0.276115379;0.585119288;0.41589163;0.351395067;0.239587545;0.518196522;0.327267826;0.472840005;0.359684594;0.687289392;0.227928292;0.429977086;0.358404098
0;S14;Dots;0.087006335;0.081816956;0.076897156;0.091050007;0.094958889;0.076155816;0.085860628;0.352540774;0.198342095;0.336096509;0.245181291;0.249022779;0.296940288;0.286628926;0.254279553;0.175090983;0.264860493;0.219436582;0.150559375;0.129532282;0.163970886;0.142404637;0.31318237;0.188637283;0.32450465;0.147257043;0.277598059;0.211551422
0;S15;Dots;0.115379431;0.112481467;0.113896752;0.123466774;0.120905782;0.085793234;0.089971694;0.548187087;0.425394258;0.644898234;0.369187222;0.487397223;0.416632969;0.481466505;0.399447365;0.263714786;0.414678528;0.281237364;0.309812643;0.214179809;0.393921014;0.228602237;0.548187087;0.379768163;0.474592263;0.250168486;0.367839331;0.402008357
0;S16;Dots;0.114705486;0.115649009;0.125623399;0.12980186;0.143415555;0.108303006;0.121242755;0.547310958;0.452149885;0.447499663;0.313519342;0.399649548;0.4187222;0.513344116;0.377881116;0.273352204;0.404501954;0.348092735;0.361436851;0.277598059;0.414813317;0.322954576;0.423978973;0.3201914;0.481870872;0.235072112;0.367300175;0.348092735
0;S21;Dots;0.112751045;0.115446826;0.118816552;0.130947567;0.150020218;0.102978838;0.111268365;0.516713843;0.386372827;0.429640113;0.313047581;0.324167678;0.290672597;0.530327537;0.338387923;0.258458013;0.349844993;0.264995282;0.302129667;0.243833401;0.376263647;0.259738509;0.476883677;0.313047581;0.364537;0.271262973;0.370130745;0.379902952
0;S22;Dots;0.222334546;0.217414746;0.215864672;0.223884621;0.231904569;0.173743092;0.187963337;0.622118884;0.535179943;0.603922362;0.484499259;0.478703329;0.470413802;0.599676506;0.50788516;0.417172126;0.493193153;0.406658579;0.439075347;0.372422159;0.449049737;0.352473379;0.595026284;0.445545222;0.555735274;0.371074269;0.486184122;0.469200701
0;S23;Dots;0.097789459;0.09064564;0.093004448;0.093408815;0.105000674;0.090578245;0.093139237;0.554656962;0.432201105;0.600754819;0.45012805;0.451880307;0.436918722;0.584714921;0.408613021;0.323493732;0.471694298;0.329424451;0.323358943;0.266949724;0.439816687;0.273554387;0.568270656;0.350047176;0.459226311;0.280900391;0.443455991;0.392303545
0;S24;Dots;0.115783798;0.106618143;0.098598194;0.121242755;0.114098935;0.088556409;0.096171991;0.479781642;0.321337107;0.521161882;0.336231298;0.382463944;0.408073864;0.411443591;0.33313115;0.232241542;0.391427416;0.272610864;0.251314193;0.189311228;0.307184257;0.194231028;0.468459361;0.297614234;0.439749292;0.205216336;0.360762906;0.323358943
